counts,transA,transB,M,N,K,lda,ldb,ldc
2,N,T,10368,1152,384,10368,1152,44160
2,N,T,10368,1153,384,10368,1153,44160
6,N,T,10368,2688,384,10368,2688,44160
2,N,T,10752,1153,384,10752,1153,44160
2,N,T,10752,1536,384,10752,1536,44160
6,N,T,10752,2688,384,10752,2688,44160
2,N,T,11136,1153,384,11136,1153,44160
2,N,T,11136,1920,384,11136,1920,44160
6,N,T,11136,2688,384,11136,2688,44160
2,N,T,11520,1153,384,11520,1153,44160
2,N,T,11520,2304,384,11520,2304,44160
6,N,T,11520,2688,384,11520,2688,44160
2,N,T,1152,1153,384,1152,1153,44160
2,N,T,11904,1153,384,11904,1153,44160
8,N,T,11904,2688,384,11904,2688,44160
2,N,T,12288,1153,384,12288,1153,44160
8,N,T,12288,2688,384,12288,2688,44160
2,N,T,12288,384,384,12288,384,44160
2,N,T,12672,1153,384,12672,1153,44160
8,N,T,12672,2688,384,12672,2688,44160
2,N,T,12672,768,384,12672,768,44160
2,N,T,13056,1152,384,13056,1152,44160
2,N,T,13056,1153,384,13056,1153,44160
8,N,T,13056,2688,384,13056,2688,44160
2,N,T,13440,1153,384,13440,1153,44160
2,N,T,13440,1536,384,13440,1536,44160
8,N,T,13440,2688,384,13440,2688,44160
2,N,T,13824,1153,384,13824,1153,44160
2,N,T,13824,1920,384,13824,1920,44160
8,N,T,13824,2688,384,13824,2688,44160
2,N,T,14208,1153,384,14208,1153,44160
2,N,T,14208,2304,384,14208,2304,44160
8,N,T,14208,2688,384,14208,2688,44160
2,N,T,14592,1153,384,14592,1153,44160
10,N,T,14592,2688,384,14592,2688,44160
2,N,T,14976,1153,384,14976,1153,44160
10,N,T,14976,2688,384,14976,2688,44160
2,N,T,14976,384,384,14976,384,44160
2,N,T,15360,1153,384,15360,1153,44160
10,N,T,15360,2688,384,15360,2688,44160
2,N,T,15360,768,384,15360,768,44160
2,N,T,1536,1153,384,1536,1153,44160
2,N,T,1536,384,384,1536,384,44160
2,N,T,15744,1152,384,15744,1152,44160
2,N,T,15744,1153,384,15744,1153,44160
10,N,T,15744,2688,384,15744,2688,44160
2,N,T,16128,1153,384,16128,1153,44160
2,N,T,16128,1536,384,16128,1536,44160
10,N,T,16128,2688,384,16128,2688,44160
2,N,T,16512,1153,384,16512,1153,44160
2,N,T,16512,1920,384,16512,1920,44160
10,N,T,16512,2688,384,16512,2688,44160
2,N,T,16896,1153,384,16896,1153,44160
2,N,T,16896,2304,384,16896,2304,44160
10,N,T,16896,2688,384,16896,2688,44160
2,N,T,17280,1153,384,17280,1153,44160
12,N,T,17280,2688,384,17280,2688,44160
2,N,T,17664,1153,384,17664,1153,44160
12,N,T,17664,2688,384,17664,2688,44160
2,N,T,17664,384,384,17664,384,44160
2,N,T,18048,1153,384,18048,1153,44160
12,N,T,18048,2688,384,18048,2688,44160
2,N,T,18048,768,384,18048,768,44160
2,N,T,18432,1152,384,18432,1152,44160
2,N,T,18432,1153,384,18432,1153,44160
12,N,T,18432,2688,384,18432,2688,44160
2,N,T,18816,1153,384,18816,1153,44160
2,N,T,18816,1536,384,18816,1536,44160
12,N,T,18816,2688,384,18816,2688,44160
2,N,T,19200,1153,384,19200,1153,44160
2,N,T,19200,1920,384,19200,1920,44160
12,N,T,19200,2688,384,19200,2688,44160
2,N,T,1920,1153,384,1920,1153,44160
2,N,T,1920,768,384,1920,768,44160
2,N,T,19584,1153,384,19584,1153,44160
2,N,T,19584,2304,384,19584,2304,44160
12,N,T,19584,2688,384,19584,2688,44160
2,N,T,19968,1153,384,19968,1153,44160
14,N,T,19968,2688,384,19968,2688,44160
2,N,T,20352,1153,384,20352,1153,44160
14,N,T,20352,2688,384,20352,2688,44160
2,N,T,20352,384,384,20352,384,44160
2,N,T,20736,1153,384,20736,1153,44160
14,N,T,20736,2688,384,20736,2688,44160
2,N,T,20736,768,384,20736,768,44160
2,N,T,21120,1152,384,21120,1152,44160
2,N,T,21120,1153,384,21120,1153,44160
14,N,T,21120,2688,384,21120,2688,44160
2,N,T,21504,1153,384,21504,1153,44160
2,N,T,21504,1536,384,21504,1536,44160
14,N,T,21504,2688,384,21504,2688,44160
2,N,T,21888,1153,384,21888,1153,44160
2,N,T,21888,1920,384,21888,1920,44160
14,N,T,21888,2688,384,21888,2688,44160
2,N,T,22272,1153,384,22272,1153,44160
2,N,T,22272,2304,384,22272,2304,44160
14,N,T,22272,2688,384,22272,2688,44160
2,N,T,22656,1153,384,22656,1153,44160
16,N,T,22656,2688,384,22656,2688,44160
2,N,T,23040,1153,384,23040,1153,44160
16,N,T,23040,2688,384,23040,2688,44160
2,N,T,23040,384,384,23040,384,44160
2,N,T,2304,1152,384,2304,1152,44160
2,N,T,2304,1153,384,2304,1153,44160
2,N,T,23424,1153,384,23424,1153,44160
16,N,T,23424,2688,384,23424,2688,44160
2,N,T,23424,768,384,23424,768,44160
2,N,T,23808,1152,384,23808,1152,44160
2,N,T,23808,1153,384,23808,1153,44160
16,N,T,23808,2688,384,23808,2688,44160
2,N,T,24192,1153,384,24192,1153,44160
2,N,T,24192,1536,384,24192,1536,44160
16,N,T,24192,2688,384,24192,2688,44160
2,N,T,24576,1153,384,24576,1153,44160
2,N,T,24576,1920,384,24576,1920,44160
16,N,T,24576,2688,384,24576,2688,44160
2,N,T,24960,1153,384,24960,1153,44160
2,N,T,24960,2304,384,24960,2304,44160
16,N,T,24960,2688,384,24960,2688,44160
2,N,T,25344,1153,384,25344,1153,44160
18,N,T,25344,2688,384,25344,2688,44160
2,N,T,25728,1153,384,25728,1153,44160
18,N,T,25728,2688,384,25728,2688,44160
2,N,T,25728,384,384,25728,384,44160
2,N,T,26112,1153,384,26112,1153,44160
18,N,T,26112,2688,384,26112,2688,44160
2,N,T,26112,768,384,26112,768,44160
2,N,T,26496,1152,384,26496,1152,44160
2,N,T,26496,1153,384,26496,1153,44160
18,N,T,26496,2688,384,26496,2688,44160
2,N,T,26880,1153,384,26880,1153,44160
2,N,T,26880,1536,384,26880,1536,44160
18,N,T,26880,2688,384,26880,2688,44160
2,N,T,2688,1153,384,2688,1153,44160
2,N,T,2688,1536,384,2688,1536,44160
2,N,T,27264,1153,384,27264,1153,44160
2,N,T,27264,1920,384,27264,1920,44160
18,N,T,27264,2688,384,27264,2688,44160
2,N,T,27648,1153,384,27648,1153,44160
2,N,T,27648,2304,384,27648,2304,44160
18,N,T,27648,2688,384,27648,2688,44160
2,N,T,28032,1153,384,28032,1153,44160
20,N,T,28032,2688,384,28032,2688,44160
2,N,T,28416,1153,384,28416,1153,44160
20,N,T,28416,2688,384,28416,2688,44160
2,N,T,28416,384,384,28416,384,44160
2,N,T,28800,1153,384,28800,1153,44160
20,N,T,28800,2688,384,28800,2688,44160
2,N,T,28800,768,384,28800,768,44160
2,N,T,29184,1152,384,29184,1152,44160
2,N,T,29184,1153,384,29184,1153,44160
20,N,T,29184,2688,384,29184,2688,44160
2,N,T,29568,1153,384,29568,1153,44160
2,N,T,29568,1536,384,29568,1536,44160
20,N,T,29568,2688,384,29568,2688,44160
2,N,T,29952,1153,384,29952,1153,44160
2,N,T,29952,1920,384,29952,1920,44160
20,N,T,29952,2688,384,29952,2688,44160
2,N,T,30336,1153,384,30336,1153,44160
2,N,T,30336,2304,384,30336,2304,44160
20,N,T,30336,2688,384,30336,2688,44160
2,N,T,30720,1153,384,30720,1153,44160
22,N,T,30720,2688,384,30720,2688,44160
2,N,T,3072,1153,384,3072,1153,44160
2,N,T,3072,1920,384,3072,1920,44160
2,N,T,31104,1153,384,31104,1153,44160
22,N,T,31104,2688,384,31104,2688,44160
2,N,T,31104,384,384,31104,384,44160
2,N,T,31488,1153,384,31488,1153,44160
22,N,T,31488,2688,384,31488,2688,44160
2,N,T,31488,768,384,31488,768,44160
2,N,T,31872,1152,384,31872,1152,44160
2,N,T,31872,1153,384,31872,1153,44160
22,N,T,31872,2688,384,31872,2688,44160
2,N,T,32256,1153,384,32256,1153,44160
2,N,T,32256,1536,384,32256,1536,44160
22,N,T,32256,2688,384,32256,2688,44160
2,N,T,32640,1153,384,32640,1153,44160
2,N,T,32640,1920,384,32640,1920,44160
22,N,T,32640,2688,384,32640,2688,44160
2,N,T,33024,1153,384,33024,1153,44160
2,N,T,33024,2304,384,33024,2304,44160
22,N,T,33024,2688,384,33024,2688,44160
2,N,T,33408,1153,384,33408,1153,44160
24,N,T,33408,2688,384,33408,2688,44160
2,N,T,33792,1153,384,33792,1153,44160
24,N,T,33792,2688,384,33792,2688,44160
2,N,T,33792,384,384,33792,384,44160
2,N,T,34176,1153,384,34176,1153,44160
24,N,T,34176,2688,384,34176,2688,44160
2,N,T,34176,768,384,34176,768,44160
2,N,T,34560,1152,384,34560,1152,44160
2,N,T,34560,1153,384,34560,1153,44160
24,N,T,34560,2688,384,34560,2688,44160
2,N,T,3456,1153,384,3456,1153,44160
2,N,T,3456,2304,384,3456,2304,44160
2,N,T,34944,1153,384,34944,1153,44160
2,N,T,34944,1536,384,34944,1536,44160
24,N,T,34944,2688,384,34944,2688,44160
2,N,T,35328,1153,384,35328,1153,44160
2,N,T,35328,1920,384,35328,1920,44160
24,N,T,35328,2688,384,35328,2688,44160
2,N,T,35712,1153,384,35712,1153,44160
2,N,T,35712,2304,384,35712,2304,44160
24,N,T,35712,2688,384,35712,2688,44160
2,N,T,36096,1153,384,36096,1153,44160
26,N,T,36096,2688,384,36096,2688,44160
2,N,T,36480,1153,384,36480,1153,44160
26,N,T,36480,2688,384,36480,2688,44160
2,N,T,36480,384,384,36480,384,44160
2,N,T,36864,1153,384,36864,1153,44160
26,N,T,36864,2688,384,36864,2688,44160
2,N,T,36864,768,384,36864,768,44160
2,N,T,37248,1152,384,37248,1152,44160
2,N,T,37248,1153,384,37248,1153,44160
26,N,T,37248,2688,384,37248,2688,44160
2,N,T,37632,1153,384,37632,1153,44160
2,N,T,37632,1536,384,37632,1536,44160
26,N,T,37632,2688,384,37632,2688,44160
2,N,T,38016,1153,384,38016,1153,44160
2,N,T,38016,1920,384,38016,1920,44160
26,N,T,38016,2688,384,38016,2688,44160
2,N,T,38400,1153,384,38400,1153,44160
2,N,T,38400,2304,384,38400,2304,44160
26,N,T,38400,2688,384,38400,2688,44160
2,N,T,3840,1153,384,3840,1153,44160
2,N,T,3840,2688,384,3840,2688,44160
2,N,T,384,385,384,384,385,44160
